"Rank","Player","Team","Position","Points","Games","Avg"
"482","De'Angelo Henderson Sr.","FA","RB","12.9","3","4.3"
"483","Byron Marshall","FA","RB","12.8","4","3.2"
"483","Jaelen Strong","FA","WR","12.8","2","6.4"
"485","Justin Hunter","FA","WR","12.3","5","2.5"
"486","Tanner McEvoy","FA","WR","12.3","9","1.4"
"487","Aaron Ripkowski","FA","RB","12.2","11","1.1"
"488","Lance Dunbar","FA","RB","12.2","2","6.1"
"489","Brittan Golden","FA","WR","12.0","9","1.3"
"490","Zach Line","FA","RB","11.6","8","1.5"
"491","Bryce Treggs","FA","WR","11.5","6","1.9"
"492","Ben Koyack","FA","TE","10.8","6","1.8"
"492","Trey Edmunds","PIT","RB","10.8","7","1.5"
"494","Alan Cross","FA","TE","10.8","5","2.2"
"495","Nathan Peterman","LV","QB","10.4","4","2.6"
"495","Patrick Mahomes","KC","QB","10.4","1","10.4"
"497","Sam Ficken","NYJ","K","10.0","2","5.0"
"498","Ryan Mallett","FA","QB","9.9","2","5.0"
"499","James Develin","FA","RB","9.8","8","1.2"
"500","Geno Smith","SEA","QB","9.7","2","4.9"
"501","Bobo Wilson","FA","WR","9.6","3","3.2"
"502","Patrick DiMarco","BUF","RB","9.6","9","1.1"
"503","Akeem Hunt","FA","RB","9.4","14","0.7"
"504","Chad Williams","FA","WR","9.4","5","1.9"
"505","Jeremy Sprinkle","WAS","TE","9.3","3","3.1"
"505","Brian Hill","ATL","RB","9.3","4","2.3"
"507","Jacob Hollister","SEA","TE","8.7","13","0.7"
"508","Zach Zenner","FA","RB","8.6","7","1.2"
"508","Landry Jones","FA","QB","8.6","3","2.9"
"508","Michael Roberts","FA","TE","8.6","6","1.4"
"508","Sean McGrath","FA","TE","8.6","4","2.2"
"508","Ryan Switzer","PIT","WR","8.6","16","0.5"
"508","Tyler Eifert","JAC","TE","8.6","2","4.3"
"514","Tre Madden","FA","RB","8.5","5","1.7"
"515","Brandon Bolden","NE","RB","8.4","8","1.1"
"516","Matthew Dayes","FA","RB","8.1","13","0.6"
"517","Michael Clark","FA","WR","8.1","2","4.1"
"518","Derek Watt","PIT","RB","7.9","11","0.7"
"519","Will Tye","FA","TE","7.8","2","3.9"
"520","Dwayne Washington","NO","RB","7.8","5","1.6"
"521","Keith Smith","ATL","RB","7.6","9","0.8"
"521","Markus Wheaton","FA","WR","7.6","7","1.1"
"521","Nate Sudfeld","PHI","QB","7.6","1","7.6"
"524","Marcus Johnson","IND","WR","7.5","6","1.3"
"525","Jared Abbrederis","FA","WR","7.4","4","1.9"
"526","Orson Charles","FA","TE","7.3","3","2.4"
"527","Noah Brown","DAL","WR","7.3","7","1.0"
"528","Jay Prosch","FA","RB","7.1","6","1.2"
"529","Bobby Rainey","FA","RB","7.0","4","1.8"
"530","Blake Bell","DAL","TE","6.9","3","2.3"
"530","Quan Bray","FA","WR","6.9","9","0.8"
"532","Marcus Murphy","FA","RB","6.8","1","6.8"
"533","Randall Telfer","FA","TE","6.6","3","2.2"
"534","Tanner Gentry","FA","WR","6.5","4","1.6"
"535","Jalston Fowler","FA","RB","6.4","3","2.1"
"536","Vince Mayle","FA","WR","6.2","11","0.6"
"537","Nick Williams","FA","WR","6.0","1","6.0"
"538","Bernard Reedy","FA","WR","5.8","11","0.5"
"539","De'Veon Smith","FA","RB","5.7","1","5.7"
"540","Darrell Daniels","ARI","TE","5.6","7","0.8"
"540","Ifeanyi Momah","FA","TE","5.6","4","1.4"
"542","Chris Matthews","FA","WR","5.5","4","1.4"
"543","Fitzgerald Toussaint","FA","RB","5.4","3","1.8"
"544","JoJo Natson","CLE","WR","5.3","7","0.8"
"545","Sean Mannion","MIN","QB","5.3","5","1.1"
"546","Emanuel Byrd","FA","TE","5.1","1","5.1"
"546","Josh Ferguson","FA","RB","5.1","4","1.3"
"548","Mack Brown","FA","RB","5.0","3","1.7"
"549","Dan Vitale","NE","RB","4.9","9","0.5"
"550","Joe Webb","FA","QB","4.8","8","0.6"
"551","Derrick Coleman","FA","RB","4.8","13","0.4"
"552","Antony Auclair","TB","TE","4.5","3","1.5"
"552","Geoff Swaim","TEN","TE","4.5","2","2.3"
"554","Senorise Perry","TEN","RB","4.3","8","0.5"
"555","Ryan Hewitt","FA","RB","4.2","5","0.8"
"556","Jehu Chesson","NYJ","WR","3.8","5","0.8"
"557","Chris Manhertz","CAR","TE","3.7","3","1.2"
"557","Michael Burton","NO","RB","3.7","8","0.5"
"559","Jordan Leslie","FA","WR","3.6","1","3.6"
"560","Cole Hikutini","DAL","TE","3.5","2","1.8"
"561","MarQueis Gray","FA","TE","3.4","7","0.5"
"562","DeAndrew White","BAL","WR","3.4","2","1.7"
"563","Isaiah McKenzie","BUF","WR","3.3","11","0.3"
"563","Darius Powe","FA","WR","3.3","1","3.3"
"565","Jeff Janis","FA","WR","3.2","7","0.5"
"566","Shelton Gibson","FA","WR","3.1","2","1.6"
"567","Cody Kessler","FA","QB","2.9","3","1.0"
"568","Allen Robinson","CHI","WR","2.7","1","2.7"
"568","AJ McCarron","HOU","QB","2.7","2","1.4"
"570","Kevin White","FA","WR","2.6","1","2.6"
"571","Andre Williams","FA","RB","2.5","2","1.3"
"572","Matt Cassel","FA","QB","2.4","2","1.2"
"573","Jeff Cumberland","FA","TE","2.2","3","0.7"
"573","Arrelious Benn","FA","WR","2.2","4","0.6"
"575","Taiwan Jones","BUF","RB","2.1","5","0.4"
"575","David Fluellen","FA","RB","2.1","7","0.3"
"577","Harry Douglas","FA","WR","1.8","1","1.8"
"577","Cobi Hamilton","FA","WR","1.8","2","0.9"
"579","Eric Weems","FA","WR","1.5","11","0.1"
"579","Larry Pinkard","FA","WR","1.5","2","0.8"
"581","Matt Jones","FA","RB","1.4","2","0.7"
"582","LeShun Daniels","FA","RB","1.4","2","0.7"
"582","Max McCaffrey","FA","WR","1.4","2","0.7"
"582","Garrett Griffin","NO","TE","1.4","2","0.7"
"582","Cooper Rush","NYG","QB","1.4","2","0.7"
"586","Ryan Malleck","FA","TE","1.3","1","1.3"
"586","Joe Kerridge","FA","RB","1.3","1","1.3"
"586","Charone Peake","FA","WR","1.3","1","1.3"
"586","Scott Tolzien","FA","QB","1.3","1","1.3"
"590","Devante Mays","FA","RB","1.1","2","0.6"
"590","Matt Hazel","FA","WR","1.1","2","0.6"
"592","Marshall Koehn","FA","K","1.0","1","1.0"
"592","Raheem Mostert","SF","RB","1.0","9","0.1"
"594","Terrell Watson","FA","RB","0.8","7","0.1"
"595","Taylor Heinicke","FA","QB","0.6","1","0.6"
"596","Derek Anderson","FA","QB","0.5","3","0.2"
"597","Joe Callahan","FA","QB","0.4","1","0.4"
"598","Andre Roberts","BUF","WR","0.2","16","0.0"
"599","John Kuhn","FA","RB","0.2","1","0.2"
"600","Kalif Raymond","TEN","WR","0.1","8","0.0"
"601","Justin Davis","FA","RB","0.1","1","0.1"
"602","Marquez Williams","FA","RB","0.0","1","0.0"
"602","Cethan Carter","CIN","TE","0.0","6","0.0"
"602","Ed Eagan","FA","WR","0.0","4","0.0"
"602","Stacy Coley","FA","WR","0.0","2","0.0"
"602","Gabe Holmes","FA","TE","0.0","1","0.0"
"602","John Phillips","FA","TE","0.0","1","0.0"
"602","Eric Saubert","CHI","TE","0.0","1","0.0"
"602","Dwayne Harris","FA","WR","0.0","5","0.0"
"602","Griff Whalen","FA","WR","0.0","2","0.0"
"602","Marquis Bundy","FA","WR","0.0","1","0.0"
"602","K.J. Brent","FA","WR","0.0","1","0.0"
"602","Matt LaCosse","NE","TE","0.0","1","0.0"
"602","Andy Jones","FA","WR","0.0","1","0.0"
"602","C.J. Spiller","FA","RB","0.0","1","0.0"
"602","Jeremy McNichols","TEN","RB","0.0","1","0.0"
"602","Henry Krieger Coble","FA","TE","0.0","1","0.0"
"602","Alex Armah","CAR","RB","0.0","1","0.0"
"602","","","","0.0","2","0.0"
"602","Matt Slater","NE","WR","0.0","6","0.0"
"602","Cody Core","NYG","WR","0.0","5","0.0"
"602","Brandon Wilson","CIN","RB","0.0","3","0.0"
"602","Jace Billingsley","FA","WR","0.0","1","0.0"
"602","Ben Braunecker","FA","TE","0.0","4","0.0"
"602","Shane Smith","FA","RB","0.0","4","0.0"
"602","Kyle Nelson","SF","TE","0.0","1","0.0"
"602","Victor Bolden Jr.","DET","WR","0.0","8","0.0"
"602","Krishawn Hogan","TEN","WR","0.0","2","0.0"
"602","Daniel Lasco","FA","RB","0.0","1","0.0"
"602","Jordan Todman","FA","RB","0.0","8","0.0"
"602","Clark Harris","CIN","TE","0.0","2","0.0"
"602","Jason Vander Laan","NO","TE","0.0","2","0.0"
"602","Isaac Whitney","HOU","WR","0.0","1","0.0"
"602","Taysom Hill","NO","QB","0.0","3","0.0"
"602","Justin Hardee","NO","WR","0.0","7","0.0"
"602","Logan Paulsen","FA","TE","0.0","2","0.0"
"602","Brandon Banks","FA","WR","0.0","1","0.0"
"602","","","","0.0","1","0.0"
"639","Austin Davis","FA","QB","-0.1","1","-0.1"
"640","Chase Daniel","DET","QB","-0.2","1","-0.2"
"640","Darren McFadden","FA","RB","-0.2","1","-0.2"
"640","Bronson Hill","FA","RB","-0.2","2","-0.1"
"643","Chad Henne","KC","QB","-0.5","2","-0.3"
"644","John Ross","CIN","WR","-0.8","3","-0.3"
"645","Jake Rudock","FA","QB","-1.0","2","-0.5"
"646","Kellen Clemens","FA","QB","-1.1","3","-0.4"
"647","Tyler Bray","CHI","QB","-2.0","1","-2.0"
"648","Teddy Bridgewater","CAR","QB","-2.3","1","-2.3"
""
""
