Rank,Player,Team,Position,Points,Games,Avg
620,Tre Madden,FA,RB,0,1,0
620,David Fluellen,FA,RB,0,2,0
620,Rod Smith,LV,RB,0,7,0
620,Sam Bradford,FA,QB,0,1,0
620,Cullen Gillaspia,HOU,RB,0,16,0
620,Stevan Ridley,FA,RB,0,1,0
620,Chad Henne,KC,QB,0,1,0
620,Mark Sanchez,FA,QB,0,1,0
620,Andrew Luck,FA,QB,0,1,0
620,Nate Sudfeld,PHI,QB,0,1,0
620,Alex Ellis,NE,TE,0,3,0
620,Jake Butt,DEN,TE,0,1,0
620,Erik Swoope,SF,TE,0,1,0
620,Matt Slater,NE,WR,0,16,0
620,Jeremy Ross,FA,WR,0,1,0
620,Riley McCarron,FA,WR,0,1,0
620,Pierre Garcon,FA,WR,0,1,0
620,Torrey Smith,FA,WR,0,1,0
620,Max McCaffrey,FA,WR,0,1,0
620,Jordy Nelson,FA,WR,0,1,0
620,Andre Holmes,FA,WR,0,1,0
620,Mike Wallace,FA,WR,0,1,0
620,Leonte Carroo,FA,WR,0,1,0
620,Freddie Martino,FA,WR,0,1,0
620,Jeremy Kerley,FA,WR,0,1,0
620,Rashad Greene,FA,WR,0,1,0
620,Corey Coleman,NYG,WR,0,1,0
620,Saeed Blacknall,FA,WR,0,1,0
620,Keenan Reynolds,FA,WR,0,1,0
620,James Jones,FA,WR,0,1,0
620,Charone Peake,FA,WR,0,1,0
620,A.J. Green,CIN,WR,0,1,0
620,Martavis Bryant,FA,WR,0,1,0
620,Doug Baldwin,FA,WR,0,1,0
620,Mose Frazier,FA,WR,0,1,0
620,J.J. Jones,FA,WR,0,1,0
620,Rod Streater,FA,WR,0,1,0
620,Darvin Kidsy,WAS,WR,0,4,0
620,J'Mon Moore,CLE,WR,0,1,0
620,Eli Rogers,FA,WR,0,1,0
620,Kaelin Clay,FA,WR,0,1,0
620,Josh Malone,NYJ,WR,0,3,0
620,Andy Jones,FA,WR,0,1,0
620,Darrius Heyward-Bey,FA,WR,0,1,0
620,Deonte Thompson,FA,WR,0,1,0
620,Derrick Willies,FA,WR,0,1,0
620,Brandon Marshall,FA,WR,0,1,0
620,Khari Lee,ATL,TE,0,1,0
620,River Cracraft,FA,WR,0,2,0
620,Gehrig Dieter,KC,WR,0,3,0
620,Richard Rodgers,WAS,TE,0,2,0
620,Kelvin Benjamin,FA,WR,0,1,0
620,Cam Phillips,CAR,WR,0,1,0
620,Marcus Kemp,KC,WR,0,1,0
620,Equanimeous St. Brown,GB,WR,0,1,0
620,Beau Brinkley,TEN,TE,0,16,0
620,Jason Croom,BUF,TE,0,1,0
620,Alan Cross,FA,TE,0,1,0
620,Kamar Aiken,FA,WR,0,1,0
620,Brian Parker,FA,TE,0,1,0
620,Jordan Reed,SF,TE,0,1,0
620,Brandon Dillon,MIN,TE,0,1,0
620,Jermaine Gresham,FA,TE,0,1,0
620,Garrett Dickerson,NYG,TE,0,5,0
620,Dion Sims,FA,TE,0,1,0
620,Keon Hatcher,FA,WR,0,1,0
620,JoJo Natson,CLE,WR,0,12,0
620,Victor Bolden Jr.,DET,WR,0,1,0
620,Terrance Williams,FA,WR,0,1,0
620,Brandon LaFell,FA,WR,0,1,0
620,Daurice Fountain,IND,WR,0,1,0
620,Lance Lenoir Jr.,FA,WR,0,1,0
620,Keith Kirkwood,CAR,WR,0,1,0
620,Alonzo Russell,FA,WR,0,1,0
620,Jehu Chesson,NYJ,WR,0,1,0
620,Janarion Grant,FA,WR,0,1,0
620,Noah Brown,DAL,WR,0,1,0
620,Justin Hardee,NO,WR,0,16,0
620,Brandon Tate,FA,WR,0,1,0
620,Trenton Irwin,CIN,WR,0,1,0
