"Rank","Player","Team","Position","Points","Games","Avg"
"616","Senorise Perry","TEN","RB","0.0","12","0.0"
"616","Dare Ogunbowale","TB","RB","0.0","1","0.0"
"616","Lance Lenoir Jr.","FA","WR","0.0","2","0.0"
"616","Cole Wick","NO","TE","0.0","2","0.0"
"616","Trevor Davis","FA","WR","0.0","2","0.0"
"616","Beau Brinkley","TEN","TE","0.0","6","0.0"
"616","Brandon Tate","FA","WR","0.0","1","0.0"
"616","Chris Lacy","DET","WR","0.0","1","0.0"
"616","Stacy Coley","FA","WR","0.0","2","0.0"
"616","Geremy Davis","DET","WR","0.0","6","0.0"
"616","Janarion Grant","FA","WR","0.0","2","0.0"
"616","Tra Carson","FA","RB","0.0","2","0.0"
"616","Daniel Brown","NYJ","TE","0.0","2","0.0"
"616","Mike Wallace","FA","WR","0.0","1","0.0"
"616","Isaiah Ford","MIA","WR","0.0","1","0.0"
"616","Deante Burton","DAL","WR","0.0","2","0.0"
"616","Taiwan Jones","BUF","RB","0.0","6","0.0"
"616","Gabe Holmes","FA","TE","0.0","1","0.0"
"616","Brandon Wilson","CIN","RB","0.0","11","0.0"
"658","Brandon Weeden","FA","QB","-0.1","1","-0.1"
"658","Chad Kelly","IND","QB","-0.1","1","-0.1"
"658","De'Angelo Henderson Sr.","FA","RB","-0.1","2","-0.1"
"661","Brian Hoyer","NE","QB","-0.5","5","-0.1"
"662","Jacoby Brissett","IND","QB","-0.6","4","-0.2"
"663","J.J. Jones","FA","WR","-0.7","4","-0.2"
"664","Rod Streater","FA","WR","-1.1","1","-1.1"
"665","Geno Smith","SEA","QB","-1.5","4","-0.4"
"666","JoJo Natson","CLE","WR","-2.0","13","-0.2"
"666","Kaelin Clay","FA","WR","-2.0","2","-1.0"
"666","Riley McCarron","FA","WR","-2.0","1","-2.0"
"669","Kyle Lauletta","FA","QB","-2.2","1","-2.2"
""
""
